draw,ng_cost,h2_end_cost,ccs_end_cost,h2_start_year,scrap_regime,grid_ef_scenario,avg_emi_target,status,obj,lifetime_avg_cost,levelized_avg_cost,lifetime_avg_emis,capture_per_t,cost_2050,emis_2050,f_bof_2050,f_eaf_2050,f_scrap_2050,f_coal_2050,f_ng_2050,f_h2_2050,solve_s
0,5.0,1000.0,25.0,2035,modest,moderate_re,1.8,solved,1902059621122.4038,561.3920706849424,539.7545658177116,1.8010000000000002,0.22052190734003135,586.6642999588925,1.386112467907532,0.5749401260581674,0.26048568916504916,0.16457418477678326,0.08578279619449093,0.05910531818189257,0.08954900587216075,1.355
1,5.0,1000.0,34.09090909090909,2035,modest,moderate_re,1.8,solved,1907155419755.1907,560.7855051239748,541.2006196364196,1.801,0.20041017079652768,581.00109744613,1.4470846034947307,0.5852251541956855,0.25020066102753097,0.16457418477678326,0.07652627087072456,0.05910531818189257,0.08954900587216075,0.463
2,5.0,1000.0,43.18181818181819,2035,modest,moderate_re,1.8,solved,1911284479241.075,561.504834452042,542.3723382751465,1.8010000000000004,0.19063655958037334,579.4981202718071,1.4568573952621444,0.5878396809648583,0.24758613425835854,0.16457418477678326,0.0741731967784693,0.05910531818189257,0.08954900587216075,0.787
3,5.0,1000.0,52.27272727272727,2035,modest,moderate_re,1.8,solved,1914805719247.658,560.6799287149441,543.3715737090871,1.8010000000000004,0.17794147430917232,575.7493030387475,1.4896278337539532,0.5947834865365914,0.24064232868662547,0.16457418477678326,0.06792377176390955,0.05910531818189257,0.08954900587216075,0.48
4,5.0,1000.0,61.36363636363637,2035,modest,moderate_re,1.8,solved,1917991046270.648,560.2994515888597,544.2754858605194,1.8010000000000004,0.16310271371130572,574.3382938621994,1.499629042486239,0.6013137288975894,0.23411208632562722,0.16457418477678326,0.06204655363901122,0.05910531818189257,0.08954900587216075,0.61
5,5.0,1000.0,70.45454545454547,2035,modest,moderate_re,1.8,solved,1920692600263.8562,560.2947444865725,545.0421159316509,1.8010000000000002,0.15967042546967247,576.5988506705921,1.5073717728172285,0.6128269958381729,0.22259881938504386,0.16457418477678326,0.05168461339248615,0.05910531818189257,0.08954900587216075,1.119
6,5.0,1000.0,79.54545454545455,2035,modest,moderate_re,1.8,solved,1922848515949.259,557.9966691693731,545.6539081813742,1.8010000000000006,0.13305008445066943,573.7706750812667,1.5226021320899177,0.6235775116515584,0.21184830357165813,0.16457418477678326,0.04200914916043903,0.05910531818189257,0.08954900587216075,0.4
7,5.0,1000.0,88.63636363636364,2035,modest,moderate_re,1.8,solved,1924803281583.3066,558.1322974165943,546.2086193294181,1.8010000000000002,0.13379642269675754,572.876077193066,1.5306786790629936,0.6235775116515584,0.21184830357165813,0.16457418477678326,0.04200914916043903,0.05910531818189257,0.08954900587216075,0.8
8,5.0,1000.0,97.72727272727273,2035,modest,moderate_re,1.8,solved,1926729682227.9587,558.7747816721284,546.7552812384341,1.8010000000000006,0.13338625381550478,573.1697228180473,1.530842801951981,0.623764325557399,0.21166148966581783,0.16457418477678326,0.041841016645182735,0.05910531818189257,0.08954900587216075,0.373
9,5.0,1000.0,106.81818181818183,2035,modest,moderate_re,1.8,solved,1928598278872.3945,558.0056612323583,547.2855398903215,1.8010000000000004,0.12799587975390395,571.6928732039763,1.5419399050626343,0.623764325557399,0.21166148966581783,0.16457418477678326,0.041841016645182735,0.05910531818189257,0.08954900587216075,1.248
10,5.0,1000.0,115.90909090909092,2035,modest,moderate_re,1.8,solved,1930284108856.6624,558.443673162888,547.7639341641371,1.8009999999999997,0.12622920967194995,574.0725769692702,1.5434238330589167,0.623764325557399,0.21166148966581783,0.16457418477678326,0.041841016645182735,0.05910531818189257,0.08954900587216075,0.371
11,5.0,1000.0,125.0,2035,modest,moderate_re,1.8,solved,1931940887288.2656,558.8187196026543,548.2340843703008,1.801,0.12460118261717462,574.2069902229312,1.5438256299673918,0.6245937128410959,0.21083210238212086,0.16457418477678326,0.04109456808985539,0.05910531818189257,0.08954900587216075,0.583
12,5.0,1145.8333333333333,25.0,2035,modest,moderate_re,1.8,solved,1905437021331.038,562.7590248393308,540.7129832947244,1.8010000000000002,0.22052190734003135,589.4519905175375,1.386112467907532,0.5749401260581674,0.26048568916504916,0.16457418477678326,0.08578279619449093,0.05910531818189257,0.08954900587216075,0.396
